Diamond Princess	696		7		456	233	15			"March 18, 2020, 02:00 GMT"
Malaysia	673	107	2	2	49	622	10	21		"March 18, 2020, 02:00 GMT"
Canada	598	157	8	4	12	578	1	16		"March 18, 2020, 02:00 GMT"
Australia	452	51	5		27	420	1	18		"March 18, 2020, 02:00 GMT"
Portugal	448	117	1		3	444	18	44		"March 18, 2020, 02:00 GMT"
Qatar	442	3			4	438		153		"March 18, 2020, 02:00 GMT"
Czechia	434	90			3	431	2	41		"March 18, 2020, 02:00 GMT"
Greece	387	35	5	1	14	368	11	37		"March 18, 2020, 02:00 GMT"
Brazil	346	112	1	1	2	343	18	2		"March 18, 2020, 02:00 GMT"
Israel	337	39			11	326	5	39		"March 18, 2020, 02:00 GMT"
Finland	322	44			10	312	2	58		"March 18, 2020, 02:00 GMT"
Ireland	292	69	2		5	285	6	59		"March 18, 2020, 02:00 GMT"
Slovenia	275	22	1			274	4	132		"March 18, 2020, 02:00 GMT"
Singapore	266	23			114	152	14	45		"March 18, 2020, 02:00 GMT"
Iceland	247	48			5	242	1	724		"March 18, 2020, 02:00 GMT"
Pakistan	247	63			2	245		1		"March 18, 2020, 02:00 GMT"
Bahrain	241	13	1		88	152	3	142		"March 18, 2020, 02:00 GMT"
Poland	238	61	5	1	1	232	3	6		"March 18, 2020, 02:00 GMT"
Estonia	225	20			1	224		170		"March 18, 2020, 02:00 GMT"
Romania	217	49			19	198	5	11		"March 18, 2020, 02:00 GMT"
Chile	201	45				201	3	11		"March 18, 2020, 02:00 GMT"
Egypt	196	30	6	2	26	164		2		"March 18, 2020, 02:00 GMT"
Philippines	187	45	12		5	170	1	2		"March 18, 2020, 02:00 GMT"
Thailand	177	30	1		41	135	1	3		"March 18, 2020, 02:00 GMT"
Indonesia	172	38	7	2	9	156		0.6		"March 18, 2020, 02:00 GMT"
Saudi Arabia	171	38			6	165		5		"March 18, 2020, 02:00 GMT"
Hong Kong	168	13	4		81	83	4	22		"March 18, 2020, 02:00 GMT"
Iraq	154	21	11	1	41	102		4		"March 18, 2020, 02:00 GMT"
India	143	14	3	1	14	126		0.1		"March 18, 2020, 02:00 GMT"
Luxembourg	140	59	1			139	1	224		"March 18, 2020, 02:00 GMT"
Kuwait	130	7			12	118	4	30		"March 18, 2020, 02:00 GMT"
Lebanon	124	15	4	1	4	116	3	18		"March 18, 2020, 02:00 GMT"
San Marino	119	10	11	2	4	104	11	"3,507"		"March 18, 2020, 02:00 GMT"
Peru	117	31			1	116	8	4		"March 18, 2020, 02:00 GMT"
Russia	114	21			8	106		0.8		"March 18, 2020, 02:00 GMT"
UAE	113	15			26	87	2	11		"March 18, 2020, 02:00 GMT"
Ecuador	111	53	2			109	2	6		"March 18, 2020, 02:00 GMT"
